RowNumber	TimeStamp	X_Position_Degree_Right_Eye	Y_Position_Degree_Right_Eye	Distance_From_RightEye	Validity_Right_Eye	Pupil_Diameter_RightEye	X_Position_Degree_Left_Eye	Y_Position_Degree_Left_Eye	Distance_From_LeftEye	Validity_Left_Eye	Pupil_Diameter_LeftEye	Target X	Target Y
0	0	0	0	0	4	0	4.879201	8.177306	0	0	1308.000000	0.000000	0.000000
1	5	0	0	0	4	0	4.547235	7.685517	0	0	1338.000000	0.000000	0.000000
2	10	0	0	0	4	0	4.994721	8.080798	0	0	1298.000000	0.000000	0.000000
3	15	0	0	0	4	0	4.431564	7.623961	0	0	1387.000000	0.000000	0.000000
4	20	0	0	0	4	0	5.006568	7.908139	0	0	1294.000000	0.000000	0.000000
5	25	0	0	0	4	0	4.728077	7.788069	0	0	1345.000000	0.000000	0.000000
6	30	0	0	0	4	0	4.751787	7.665000	0	0	1313.000000	0.000000	0.000000
7	35	0	0	0	4	0	4.899939	7.893499	0	0	1316.000000	0.000000	0.000000
8	40	0	0	0	4	0	4.517579	7.415716	0	0	1342.000000	0.000000	0.000000
9	45	0	0	0	4	0	4.997683	7.884717	0	0	1287.000000	0.000000	0.000000
10	50	0	0	0	4	0	4.514613	7.530129	0	0	1357.000000	0.000000	0.000000
11	55	0	0	0	4	0	5.116122	7.811503	0	0	1288.000000	0.000000	0.000000
12	60	0	0	0	4	0	4.799203	7.808574	0	0	1339.000000	0.000000	0.000000
13	65	0	0	0	4	0	4.796240	7.471463	0	0	1295.000000	0.000000	0.000000
14	70	0	0	0	4	0	4.971028	7.808574	0	0	1314.000000	0.000000	0.000000
15	75	0	0	0	4	0	4.458261	7.321794	0	0	1345.000000	0.000000	0.000000
16	80	0	0	0	4	0	4.956220	7.720684	0	0	1301.000000	0.000000	0.000000
17	85	0	0	0	4	0	4.499784	7.401043	0	0	1383.000000	0.000000	0.000000
18	90	0	0	0	4	0	5.012490	7.676724	0	0	1284.000000	0.000000	0.000000
19	95	0	0	0	4	0	4.736969	7.685517	0	0	1338.000000	0.000000	0.000000
20	100	0	0	0	4	0	4.683616	7.357019	0	0	1308.000000	0.000000	0.000000
21	105	0	0	0	4	0	4.938447	7.738265	0	0	1300.000000	0.000000	0.000000
22	110	0	0	0	4	0	4.502750	7.277753	0	0	1346.000000	0.000000	0.000000
23	115	0	0	0	4	0	4.885127	7.582915	0	0	1309.000000	0.000000	0.000000
24	120	0	0	0	4	0	4.481989	7.392239	0	0	1355.000000	0.000000	0.000000
25	125	0	0	0	4	0	4.861425	7.430387	0	0	1286.000000	0.000000	0.000000
26	130	0	0	0	4	0	4.808093	7.626893	0	0	1335.000000	0.000000	0.000000
27	135	0	0	0	4	0	4.612466	7.274817	0	0	1318.000000	0.000000	0.000000
28	140	0	0	0	4	0	5.033219	7.679656	0	0	1319.000000	0.000000	0.000000
29	145	0	0	0	4	0	4.431564	7.180837	0	0	1365.000000	0.000000	0.000000
30	150	0	0	0	4	0	4.917713	7.535995	0	0	1314.000000	0.000000	0.000000
31	155	0	0	0	4	0	4.674723	7.471463	0	0	1362.000000	0.000000	0.000000
32	160	0	0	0	4	0	4.896976	7.494931	0	0	1296.000000	0.000000	0.000000
33	165	0	0	0	4	0	4.894014	7.659139	0	0	1335.000000	0.000000	0.000000
34	170	0	0	0	4	0	4.576887	7.230769	0	0	1335.000000	0.000000	0.000000
35	175	0	0	0	4	0	4.932524	7.562389	0	0	1306.000000	0.000000	0.000000
36	180	0	0	0	4	0	4.413767	7.201398	0	0	1374.000000	0.000000	0.000000
37	185	0	0	0	4	0	4.968067	7.468529	0	0	1301.000000	0.000000	0.000000
38	190	0	0	0	4	0	4.579851	7.345278	0	0	1364.000000	0.000000	0.000000
39	195	0	0	0	4	0	4.728077	7.186711	0	0	1312.000000	0.000000	0.000000
40	200	0	0	0	4	0	4.864388	7.480264	0	0	1332.000000	0.000000	0.000000
41	205	0	0	0	4	0	4.565025	7.080938	0	0	1339.000000	0.000000	0.000000
42	210	0	0	0	4	0	4.991761	7.433322	0	0	1307.000000	0.000000	0.000000
43	215	0	0	0	4	0	4.440464	7.013336	0	0	1385.000000	0.000000	0.000000
44	220	0	0	0	4	0	4.879201	7.283626	0	0	1308.000000	0.000000	0.000000
45	225	0	0	0	4	0	4.591712	7.263072	0	0	1364.000000	0.000000	0.000000
46	230	0	0	0	4	0	4.659901	7.095632	0	0	1312.000000	0.000000	0.000000
47	235	0	0	0	4	0	4.766605	7.295371	0	0	1326.000000	0.000000	0.000000
48	240	0	0	0	4	0	4.390033	6.869248	0	0	1355.000000	0.000000	0.000000
49	245	0	0	0	4	0	4.885127	7.318858	0	0	1310.000000	0.000000	0.000000
50	250	0	0	0	4	0	4.102159	6.613204	0	0	1388.000000	0.000000	0.000000
51	255	0	0	0	4	0	3.558499	6.064923	0	0	1368.000000	0.000000	0.000000
52	260	0	0	0	4	0	2.522964	5.409067	0	0	1423.000000	0.000000	0.000000
53	265	0	0	0	4	0	1.670653	4.366300	0	0	1455.000000	0.000000	0.000000
54	270	0	0	0	4	0	1.476830	3.710079	0	0	1440.000000	0.000000	0.000000
55	275	0	0	0	4	0	1.065221	2.776074	0	0	1496.000000	0.000000	0.000000
56	280	0	0	0	4	0	1.211387	2.418712	0	0	1450.000000	0.000000	0.000000
57	285	0	0	0	4	0	1.175592	2.189304	0	0	1492.000000	0.000000	0.000000
58	290	0	0	0	4	0	1.181558	1.968767	0	0	1452.000000	0.000000	0.000000
59	295	0	0	0	4	0	1.277007	2.061162	0	0	1469.000000	0.000000	0.000000
60	300	0	0	0	4	0	1.166644	1.930018	0	0	1483.000000	0.000000	0.000000
61	305	0	0	0	4	0	1.151729	1.834628	0	0	1464.000000	0.000000	0.000000
62	310	0	0	0	4	0	1.044339	1.795874	0	0	1510.000000	0.000000	0.000000
63	315	0	0	0	4	0	1.154712	1.760098	0	0	1467.000000	0.000000	0.000000
64	320	0	0	0	4	0	1.089085	1.834628	0	0	1497.000000	0.000000	0.000000
65	325	0	0	0	4	0	1.121899	1.715376	0	0	1471.000000	0.000000	0.000000
66	330	0	0	0	4	0	1.178575	1.813760	0	0	1478.000000	0.000000	0.000000
67	335	0	0	0	4	0	1.130848	1.709413	0	0	1504.000000	0.000000	0.000000
68	340	0	0	0	4	0	1.160677	1.727302	0	0	1466.000000	0.000000	0.000000
69	345	0	0	0	4	0	1.112949	1.766061	0	0	1520.000000	0.000000	0.000000
70	350	0	0	0	4	0	1.220335	1.697487	0	0	1472.000000	0.000000	0.000000
71	355	0	0	0	4	0	1.112949	1.831647	0	0	1509.000000	0.000000	0.000000
72	360	0	0	0	4	0	1.124882	1.766061	0	0	1495.000000	0.000000	0.000000
73	365	0	0	0	4	0	1.193489	1.727302	0	0	1474.000000	0.000000	0.000000
74	370	0	0	0	4	0	1.109967	1.742209	0	0	1499.000000	0.000000	0.000000
75	375	0	0	0	4	0	1.139797	1.786929	0	0	1481.000000	0.000000	0.000000
76	380	0	0	0	4	0	1.026439	1.810779	0	0	1530.000000	0.000000	0.000000
77	385	0	0	0	4	0	1.077153	1.760098	0	0	1480.000000	0.000000	0.000000
78	390	0	0	0	4	0	1.083119	1.861457	0	0	1502.000000	0.000000	0.000000
79	395	0	0	0	4	0	1.002574	1.807798	0	0	1492.000000	0.000000	0.000000
80	400	0	0	0	4	0	1.038372	1.825685	0	0	1481.000000	0.000000	0.000000
81	405	0	0	0	4	0	0.919041	1.783948	0	0	1525.000000	0.000000	0.000000
82	410	0	0	0	4	0	1.008540	1.709413	0	0	1485.000000	0.000000	0.000000
83	415	0	0	0	4	0	0.927991	1.700469	0	0	1531.000000	0.000000	0.000000
84	420	0	0	0	4	0	0.978707	1.652763	0	0	1483.000000	0.000000	0.000000
85	425	0	0	0	4	0	0.942908	1.655745	0	0	1504.000000	0.000000	0.000000
86	430	0	0	0	4	0	0.847438	1.622946	0	0	1513.000000	0.000000	0.000000
87	435	0	0	0	4	0	0.990641	1.673635	0	0	1487.000000	0.000000	0.000000
88	440	0	0	0	4	0	0.886224	1.694506	0	0	1533.000000	0.000000	0.000000
89	445	0	0	0	4	0	0.948874	1.697487	0	0	1487.000000	0.000000	0.000000
90	450	0	0	0	4	0	0.868323	1.631892	0	0	1523.000000	0.000000	0.000000
91	455	0	0	0	4	0	0.578906	1.435079	0	0	1503.000000	0.000000	0.000000
92	460	0	0	0	4	0	0.286477	1.268059	0	0	1526.000000	0.000000	0.000000
93	465	0	0	0	4	0	0.238731	1.121899	0	0	1525.000000	0.000000	0.000000
94	470	0	0	0	4	0	0.289461	1.056271	0	0	1497.000000	0.000000	0.000000
