RowNumber	TimeStamp	X_Position_Degree_Right_Eye	Y_Position_Degree_Right_Eye	Distance_From_RightEye	Validity_Right_Eye	Pupil_Diameter_RightEye	X_Position_Degree_Left_Eye	Y_Position_Degree_Left_Eye	Distance_From_LeftEye	Validity_Left_Eye	Pupil_Diameter_LeftEye	Target X	Target Y
0	0	0	0	0	4	0	-0.167111	-0.253652	0	0	1581.000000	0.000000	0.000000
1	20	0	0	0	4	0	-0.155176	-0.190985	0	0	1579.000000	0.000000	0.000000
2	40	0	0	0	4	0	-0.164128	-0.238731	0	0	1574.000000	0.000000	0.000000
3	60	0	0	0	4	0	-0.155176	-0.283492	0	0	1571.000000	0.000000	0.000000
4	80	0	0	0	4	0	-0.188001	-0.277524	0	0	1576.000000	0.000000	0.000000
5	100	0	0	0	4	0	-0.143239	-0.286477	0	0	1566.000000	0.000000	0.000000
6	120	0	0	0	4	0	-0.101462	-0.256636	0	0	1558.000000	0.000000	0.000000
7	140	0	0	0	4	0	-0.116383	-0.208890	0	0	1555.000000	0.000000	0.000000
8	160	0	0	0	4	0	-0.134287	-0.217842	0	0	1552.000000	0.000000	0.000000
9	180	0	0	0	4	0	-0.116383	-0.188001	0	0	1540.000000	0.000000	0.000000
10	200	0	0	0	4	0	-0.134287	-0.202921	0	0	1537.000000	0.000000	0.000000
11	220	0	0	0	4	0	-0.107429	-0.244700	0	0	1544.000000	0.000000	0.000000
12	240	0	0	0	4	0	-0.131303	-0.196954	0	0	1530.000000	0.000000	0.000000
13	260	0	0	0	4	0	-0.107429	-0.158159	0	0	1518.000000	0.000000	0.000000
14	280	0	0	0	4	0	-0.137270	-0.220826	0	0	1518.000000	0.000000	0.000000
15	300	0	0	0	4	0	-0.134287	-0.199938	0	0	1515.000000	0.000000	0.000000
16	320	0	0	0	4	0	-0.101462	0.023873	0	0	1510.000000	0.000000	0.000000
17	340	0	0	0	4	0	-0.185017	0.000000	0	0	1518.000000	0.000000	0.000000
18	360	0	0	0	4	0	-0.176065	0.005969	0	0	1520.000000	0.000000	0.000000
19	380	0	0	0	4	0	-0.125335	-0.035810	0	0	1521.000000	0.000000	0.000000
20	400	0	0	0	4	0	-0.158159	-0.020889	0	0	1527.000000	0.000000	0.000000
21	420	0	0	0	4	0	-0.140255	-0.017905	0	0	1527.000000	0.000000	0.000000
22	440	0	0	0	4	0	-0.158159	-0.020889	0	0	1526.000000	0.000000	0.000000
23	460	0	0	0	4	0	-0.146224	-0.107430	0	0	1528.000000	0.000000	0.000000
24	480	0	0	0	4	0	-0.161145	-0.110414	0	0	1533.000000	0.000000	0.000000
25	500	0	0	0	4	0	-0.164128	-0.140255	0	0	1534.000000	0.000000	0.000000
26	520	0	0	0	4	0	-0.107429	-0.119366	0	0	1524.000000	0.000000	0.000000
27	540	0	0	0	4	0	-0.196953	-0.116382	0	0	1536.000000	0.000000	0.000000
