RowNumber	TimeStamp	X_Position_Degree_Right_Eye	Y_Position_Degree_Right_Eye	Distance_From_RightEye	Validity_Right_Eye	Pupil_Diameter_RightEye	X_Position_Degree_Left_Eye	Y_Position_Degree_Left_Eye	Distance_From_LeftEye	Validity_Left_Eye	Pupil_Diameter_LeftEye	Target X	Target Y
0	0	0	0	0	4	0	-0.134287	0.110414	0	0	1017.000000	0.000000	0.000000
1	10	0	0	0	4	0	-0.023873	0.161144	0	0	1007.000000	0.000000	0.000000
2	20	0	0	0	4	0	-0.071620	0.170097	0	0	1016.000000	0.000000	0.000000
3	30	0	0	0	4	0	-0.149207	0.119366	0	0	1026.000000	0.000000	0.000000
4	40	0	0	0	4	0	-0.170097	0.071620	0	0	1038.000000	0.000000	0.000000
5	50	0	0	0	4	0	-0.167111	0.137271	0	0	1029.000000	0.000000	0.000000
6	60	0	0	0	4	0	-0.173080	0.083556	0	0	1013.000000	0.000000	0.000000
7	70	0	0	0	4	0	-0.137270	0.056699	0	0	1016.000000	0.000000	0.000000
8	80	0	0	0	4	0	-0.155176	0.089525	0	0	1011.000000	0.000000	0.000000
9	90	0	0	0	4	0	-0.176065	-0.005969	0	0	1024.000000	0.000000	0.000000
10	100	0	0	0	4	0	-0.238731	-0.029842	0	0	1027.000000	0.000000	0.000000
11	110	0	0	0	4	0	-0.211873	0.002984	0	0	1036.000000	0.000000	0.000000
12	120	0	0	0	4	0	-0.202921	0.062667	0	0	1028.000000	0.000000	0.000000
13	130	0	0	0	4	0	-0.173080	0.062667	0	0	1019.000000	0.000000	0.000000
14	140	0	0	0	4	0	-0.146224	0.002984	0	0	1022.000000	0.000000	0.000000
15	150	0	0	0	4	0	-0.113397	-0.029842	0	0	1014.000000	0.000000	0.000000
16	160	0	0	0	4	0	-0.202921	-0.119366	0	0	1028.000000	0.000000	0.000000
17	170	0	0	0	4	0	-0.196953	-0.092509	0	0	1041.000000	0.000000	0.000000
18	180	0	0	0	4	0	-0.095493	-0.062667	0	0	1044.000000	0.000000	0.000000
19	190	0	0	0	4	0	-0.125335	0.032826	0	0	1033.000000	0.000000	0.000000
20	200	0	0	0	4	0	-0.083556	-0.047747	0	0	1023.000000	0.000000	0.000000
21	210	0	0	0	4	0	-0.104445	-0.050731	0	0	1029.000000	0.000000	0.000000
22	220	0	0	0	4	0	-0.071620	-0.071620	0	0	1031.000000	0.000000	0.000000
23	230	0	0	0	4	0	-0.167111	-0.128318	0	0	1051.000000	0.000000	0.000000
24	240	0	0	0	4	0	-0.164128	-0.089525	0	0	1049.000000	0.000000	0.000000
25	250	0	0	0	4	0	-0.164128	-0.095493	0	0	1041.000000	0.000000	0.000000
26	260	0	0	0	4	0	-0.143239	-0.053714	0	0	1033.000000	0.000000	0.000000
27	270	0	0	0	4	0	0.041778	-0.053714	0	0	1031.000000	0.000000	0.000000
28	280	0	0	0	4	0	0.483422	0.101461	0	0	1039.000000	0.000000	0.000000
29	290	0	0	0	4	0	0.170097	0.032826	0	0	1039.000000	0.000000	0.000000
30	300	0	0	0	4	0	0.134287	-0.020889	0	0	1046.000000	0.000000	0.000000
31	310	0	0	0	4	0	0.095493	0.020889	0	0	1049.000000	0.000000	0.000000
32	320	0	0	0	4	0	0.122350	0.098477	0	0	1041.000000	0.000000	0.000000
33	330	0	0	0	4	0	0.196954	0.119366	0	0	1037.000000	0.000000	0.000000
34	340	0	0	0	4	0	0.104445	0.086540	0	0	1037.000000	0.000000	0.000000
35	350	0	0	0	4	0	0.202921	0.047747	0	0	1039.000000	0.000000	0.000000
36	360	0	0	0	4	0	0.101461	0.020889	0	0	1046.000000	0.000000	0.000000
37	370	0	0	0	4	0	0.014921	0.032826	0	0	1065.000000	0.000000	0.000000
38	380	0	0	0	4	0	-0.014921	0.083556	0	0	1063.000000	0.000000	0.000000
39	390	0	0	0	4	0	0.047747	0.086540	0	0	1045.000000	0.000000	0.000000
40	400	0	0	0	4	0	0.086540	0.050731	0	0	1035.000000	0.000000	0.000000
41	410	0	0	0	4	0	0.077588	0.086540	0	0	1033.000000	0.000000	0.000000
42	420	0	0	0	4	0	0.155176	0.092509	0	0	1039.000000	0.000000	0.000000
43	430	0	0	0	4	0	0.008952	0.008952	0	0	1060.000000	0.000000	0.000000
44	440	0	0	0	4	0	0.044762	0.026857	0	0	1070.000000	0.000000	0.000000
45	450	0	0	0	4	0	0.026857	0.050731	0	0	1052.000000	0.000000	0.000000
46	460	0	0	0	4	0	0.020889	0.029842	0	0	1045.000000	0.000000	0.000000
47	470	0	0	0	4	0	0.014921	0.068635	0	0	1037.000000	0.000000	0.000000
48	480	0	0	0	4	0	0.068635	0.074604	0	0	1037.000000	0.000000	0.000000
49	490	0	0	0	4	0	0.020889	0.113397	0	0	1051.000000	0.000000	0.000000
50	500	0	0	0	4	0	0.047747	0.053714	0	0	1064.000000	0.000000	0.000000
51	510	0	0	0	4	0	-0.020889	0.026857	0	0	1067.000000	0.000000	0.000000
52	520	0	0	0	4	0	-0.011937	0.074604	0	0	1061.000000	0.000000	0.000000
53	530	0	0	0	4	0	-0.020889	0.032826	0	0	1055.000000	0.000000	0.000000
54	540	0	0	0	4	0	-0.002983	-0.035810	0	0	1049.000000	0.000000	0.000000
55	550	0	0	0	4	0	0.041778	-0.065652	0	0	1049.000000	0.000000	0.000000
56	560	0	0	0	4	0	-0.053714	-0.005969	0	0	1062.000000	0.000000	0.000000
57	570	0	0	0	4	0	-0.077587	-0.053714	0	0	1073.000000	0.000000	0.000000
58	580	0	0	0	4	0	-0.068635	0.005969	0	0	1077.000000	0.000000	0.000000
59	590	0	0	0	4	0	-0.080573	0.053714	0	0	1064.000000	0.000000	0.000000
60	600	0	0	0	4	0	-0.005969	0.101461	0	0	1054.000000	0.000000	0.000000
61	610	0	0	0	4	0	0.128318	0.110414	0	0	1053.000000	0.000000	0.000000
62	620	0	0	0	4	0	0.059683	0.080573	0	0	1062.000000	0.000000	0.000000
63	630	0	0	0	4	0	0.002984	0.050731	0	0	1074.000000	0.000000	0.000000
64	640	0	0	0	4	0	0.008952	0.029842	0	0	1081.000000	0.000000	0.000000
65	650	0	0	0	4	0	-0.032825	0.053714	0	0	1085.000000	0.000000	0.000000
66	660	0	0	0	4	0	-0.023873	0.128318	0	0	1068.000000	0.000000	0.000000
67	670	0	0	0	4	0	-0.041779	0.008952	0	0	1069.000000	0.000000	0.000000
68	680	0	0	0	4	0	-0.038794	0.014921	0	0	1076.000000	0.000000	0.000000
69	690	0	0	0	4	0	-0.002983	0.199938	0	0	1083.000000	0.000000	0.000000
70	700	0	0	0	4	0	0.011936	0.173080	0	0	1091.000000	0.000000	0.000000
71	710	0	0	0	4	0	-0.023873	0.188001	0	0	1095.000000	0.000000	0.000000
72	720	0	0	0	4	0	-0.122349	0.226795	0	0	1095.000000	0.000000	0.000000
73	730	0	0	0	4	0	-0.179049	0.173080	0	0	1088.000000	0.000000	0.000000
74	740	0	0	0	4	0	-0.185017	0.098477	0	0	1087.000000	0.000000	0.000000
75	750	0	0	0	4	0	-0.110414	0.113397	0	0	1092.000000	0.000000	0.000000
76	760	0	0	0	4	0	-0.113397	0.155176	0	0	1094.000000	0.000000	0.000000
77	770	0	0	0	4	0	-0.223811	0.170097	0	0	1113.000000	0.000000	0.000000
78	780	0	0	0	4	0	-0.235748	0.065652	0	0	1117.000000	0.000000	0.000000
79	790	0	0	0	4	0	-0.211873	0.107430	0	0	1104.000000	0.000000	0.000000
80	800	0	0	0	4	0	-0.199938	0.202921	0	0	1098.000000	0.000000	0.000000
81	810	0	0	0	4	0	-0.244700	0.098477	0	0	1094.000000	0.000000	0.000000
82	820	0	0	0	4	0	-0.214859	0.083556	0	0	1100.000000	0.000000	0.000000
83	830	0	0	0	4	0	-0.277524	0.020889	0	0	1106.000000	0.000000	0.000000
84	840	0	0	0	4	0	-0.310350	0.071620	0	0	1113.000000	0.000000	0.000000
85	850	0	0	0	4	0	-0.310350	0.092509	0	0	1105.000000	0.000000	0.000000
86	860	0	0	0	4	0	-0.310350	0.170097	0	0	1091.000000	0.000000	0.000000
87	870	0	0	0	4	0	-0.346157	0.056699	0	0	1085.000000	0.000000	0.000000
88	880	0	0	0	4	0	-0.322285	-0.002984	0	0	1092.000000	0.000000	0.000000
89	890	0	0	0	4	0	-0.313333	0.086540	0	0	1099.000000	0.000000	0.000000
90	900	0	0	0	4	0	-0.361077	0.083556	0	0	1105.000000	0.000000	0.000000
91	910	0	0	0	4	0	-0.325270	0.173080	0	0	1103.000000	0.000000	0.000000
92	920	0	0	0	4	0	-0.301396	0.188001	0	0	1101.000000	0.000000	0.000000
93	930	0	0	0	4	0	-0.361077	0.179049	0	0	1096.000000	0.000000	0.000000
94	940	0	0	0	4	0	-0.364062	0.056699	0	0	1100.000000	0.000000	0.000000
95	950	0	0	0	4	0	-0.373014	0.020889	0	0	1100.000000	0.000000	0.000000
96	960	0	0	0	4	0	-0.435678	0.008952	0	0	1109.000000	0.000000	0.000000
97	970	0	0	0	4	0	-0.486405	-0.035810	0	0	1118.000000	0.000000	0.000000
98	980	0	0	0	4	0	-0.471486	-0.032826	0	0	1116.000000	0.000000	0.000000
99	990	0	0	0	4	0	-0.441646	-0.113397	0	0	1111.000000	0.000000	0.000000
100	1000	0	0	0	4	0	-0.373014	-0.113397	0	0	1107.000000	0.000000	0.000000
101	1010	0	0	0	4	0	-0.438663	-0.193969	0	0	1106.000000	-0.127097	0.129306
102	1020	0	0	0	4	0	-0.414791	-0.161144	0	0	1115.000000	-0.268315	0.272980
103	1030	0	0	0	4	0	-0.456566	-0.137271	0	0	1119.000000	-0.409534	0.416653
104	1040	0	0	0	4	0	-0.584873	-0.173080	0	0	1129.000000	-0.550752	0.560327
105	1050	0	0	0	4	0	-0.474471	-0.104445	0	0	1114.000000	-0.691970	0.704000
106	1060	0	0	0	4	0	-0.337205	-0.023873	0	0	1106.000000	-0.833189	0.847674
