RowNumber	TimeStamp	X_Position_Degree_Right_Eye	Y_Position_Degree_Right_Eye	Distance_From_RightEye	Validity_Right_Eye	Pupil_Diameter_RightEye	X_Position_Degree_Left_Eye	Y_Position_Degree_Left_Eye	Distance_From_LeftEye	Validity_Left_Eye	Pupil_Diameter_LeftEye	Target X	Target Y
0	0	0	0	0	4	0	2.665909	4.956220	0	0	555.000000	0.000000	0.000000
1	20	0	0	0	4	0	2.737370	4.496819	0	0	572.000000	0.000000	0.000000
2	40	0	0	0	4	0	2.651020	4.562060	0	0	573.000000	0.000000	0.000000
3	60	0	0	0	4	0	2.695685	4.701401	0	0	570.000000	0.000000	0.000000
4	80	0	0	0	4	0	2.731415	4.710293	0	0	569.000000	0.000000	0.000000
5	100	0	0	0	4	0	2.749279	4.378167	0	0	584.000000	0.000000	0.000000
6	120	0	0	0	4	0	2.653998	4.645079	0	0	574.000000	0.000000	0.000000
7	140	0	0	0	4	0	2.713551	4.778459	0	0	570.000000	0.000000	0.000000
8	160	0	0	0	4	0	2.749279	4.345531	0	0	583.000000	0.000000	0.000000
9	180	0	0	0	4	0	2.653998	4.621361	0	0	575.000000	0.000000	0.000000
10	200	0	0	0	4	0	2.764166	4.819945	0	0	563.000000	0.000000	0.000000
11	220	0	0	0	4	0	2.782028	4.467159	0	0	576.000000	0.000000	0.000000
12	240	0	0	0	4	0	2.728438	4.342564	0	0	588.000000	0.000000	0.000000
13	260	0	0	0	4	0	2.737370	4.734005	0	0	569.000000	0.000000	0.000000
14	280	0	0	0	4	0	2.767142	4.529441	0	0	577.000000	0.000000	0.000000
15	300	0	0	0	4	0	2.725460	4.253542	0	0	594.000000	0.000000	0.000000
16	320	0	0	0	4	0	2.728438	4.585782	0	0	574.000000	0.000000	0.000000
17	340	0	0	0	4	0	2.737370	4.716221	0	0	567.000000	0.000000	0.000000
18	360	0	0	0	4	0	2.820730	4.211991	0	0	592.000000	0.000000	0.000000
19	380	0	0	0	4	0	2.764166	4.461227	0	0	590.000000	0.000000	0.000000
20	400	0	0	0	4	0	2.793937	4.565026	0	0	580.000000	0.000000	0.000000
